Receipt No,Student Name,Admission No,Class,Parent Phone,Paid Months,Tuition Fee,Transport Fee,Total Amount,Payment Mode,Payment Ref,Status,Date
"LHS-FEE-2026-7926","Bobby Smith","LHS-2026-3105","Grade 10-A","+1-555-0200","May 2026",882,0,882,"CASH_OFFLINE","test","PAID","2026-08-26T23:31:19.194Z"
"LHS-FEE-2026-4953","Bobby Smith","LHS-2026-3105","Grade 10-A","+1-555-0200","April 2026",1000,0,1000,"CASH_OFFLINE","9822","PAID","2026-08-26T23:26:05.818Z"
"LHS-FEE-2026-4120","Ananya Rao","LHS-2026-6350","Grade 10-A","9876595052","July 2026",1000,0,1000,"CASH_OFFLINE","8888","PAID","2026-08-26T23:25:09.659Z"
"LHS-FEE-2026-1072","Ananya Rao","LHS-2026-6350","Grade 10-A","9876595052","June 2026",1700,0,1700,"CASH_OFFLINE","555","PAID","2026-08-26T23:20:54.370Z"
"LHS-FEE-2026-3424","Ananya Rao","LHS-2026-6350","Grade 10-A","9876595052","May 2026",1600,0,1600,"CASH_OFFLINE","3827","PAID","2026-08-26T23:17:13.428Z"
"LHS-FEE-2026-4520","Ananya Rao","LHS-2026-6350","Grade 10-A","9876595052","April 2026",1500,0,1500,"CASH_OFFLINE","6378","PAID","2026-08-26T23:12:32.563Z"
"LHS-FEE-2026-7064","Aarav Sharma","LHS-2026-7220","Grade 10-A","9876516082","July 2026",1200,0,1200,"CASH_OFFLINE","1234","PAID","2026-08-26T09:45:29.496Z"
"LHS-FEE-2026-1438","Ananya Rao","LHS-2026-6350","Grade 10-A","9876595052","August 2026",1200,0,1200,"ONLINE_UPI (GOOGLE PAY)","pay_LHS_833585834","PAID","2026-08-25T18:50:33.610Z"
"LHS-FEE-2026-4504","Oinam Henba","LHS-2026-006","Play-Group","+91 98621 11222","July 2026",1200,0,1200,"UPI_ONLINE","429673468202","PAID","2026-08-25T18:22:31.042Z"
"LHS-FEE-2026-1034","Oinam Henba","LHS-2026-006","Play-Group","+91 98621 11222","June 2026",1200,0,1200,"CASH_OFFLINE","REC-2026-7091","PAID","2026-08-25T18:22:30.876Z"
"LHS-FEE-2026-8639","Oinam Henba","LHS-2026-006","Play-Group","+91 98621 11222","May 2026",1200,0,1200,"UPI_ONLINE","423658878166","PAID","2026-08-25T18:22:30.766Z"
"LHS-FEE-2026-9227","Oinam Henba","LHS-2026-006","Play-Group","+91 98621 11222","April 2026",1200,0,1200,"UPI_ONLINE","423420339469","PAID","2026-08-25T18:22:30.650Z"
